frame,rfp_mean,rfp_median,rfp_std,gfp_mean,gfp_median,gfp_std,area,bbox_0,bbox_1,bbox_2,bbox_3,y,x,time_min,label
0,13.67990589,12.36380768,23.89953804,766.3515015,762.649292,185.8466339,1934,9,2438,75,2479,37.91571872,2458.051189,0.19782886,1
0,23.77254486,24.52993774,27.93755722,762.9940186,780.4857178,130.4736633,562,406,1886,435,1912,420.8754448,1898.72242,0.19782886,2
0,22.71385002,23.38223267,25.42645264,780.727417,831.815918,190.0308228,609,603,1309,630,1337,615.9211823,1322.701149,0.19782886,3
0,76.69566345,78.02233887,28.16927528,644.3312378,674.6914063,140.9702301,394,663,2302,686,2325,674.2208122,2313.086294,0.19782886,4
0,26.81546593,23.61724854,25.09405327,1229.727173,1243.306885,204.6295929,793,660,412,692,444,675.6330391,427.037831,0.19782886,7
0,42.63399506,41.81770325,28.42002869,2109.616455,2295.058838,523.1882324,884,1151,1872,1186,1906,1167.96267,1888.455882,0.19782886,198
0,34.268116,34.34353638,26.32855225,3027.125732,3209.293945,748.3713379,1773,1561,2512,1607,2560,1583.846588,2535.706712,0.19782886,8
0,38.53002167,38.45274353,25.88328362,3660.676514,3682.467285,528.9796143,2214,1615,2500,1665,2558,1638.603884,2528.341012,0.19782886,9
0,52.40100098,52.1307373,26.13403893,2767.407471,2750.502197,563.7071533,1701,927,1203,970,1251,947.2639624,1226.741917,0.19782886,199
0,45.39248657,44.13586426,26.47626686,1221.916504,1256.740723,294.9013367,1951,839,1270,889,1320,863.7339826,1294.844182,0.19782886,200
0,31.61804581,30.69651794,25.85474968,805.9664307,831.3154297,294.7228394,3092,391,1665,455,1727,422.2535576,1695.779107,0.19782886,201
0,24.70803261,24.35414124,25.386343,815.9116211,799.1779175,271.4509277,2620,540,1407,594,1469,566.7137405,1437.375573,0.19782886,174
0,46.25658798,44.94987488,26.472826,2152.498291,2212.931641,449.0056763,2342,558,1578,614,1633,585.6848847,1605.340734,0.19782886,202
0,71.19348907,70.05664063,41.9102478,707.8540649,707.6129761,336.0608521,2441,769,1574,821,1634,794.7865629,1604.162229,0.19782886,203
